CHANNEL2,AGE,GENDER,PROVINCE,RACE,total_viewers,avg_duration_minutes,total_views_PerChannel,avg_duration,Viewers_Per_Race
ICC Cricket World Cup 2011,47,male,Gauteng,white,6,1.757549073142857E9,7,1.757549073142857E9,7
Africa Magic,31,male,Gauteng,black,6,1.7575492039E9,10,1.7575492039E9,10
Cartoon Network,27,male,Western Cape,coloured,6,1.7575492048333333E9,6,1.7575492048333333E9,6
Africa Magic,24,male,Mpumalanga,black,6,1.7575490195714285E9,7,1.7575490195714285E9,7
Africa Magic,42,male,Gauteng,black,6,1.7575489343333333E9,9,1.7575489343333333E9,9
Supersport Live Events,45,male,Gauteng,white,6,1.7575491616666667E9,6,1.7575491616666667E9,6
Boomerang,28,male,Gauteng,black,6,1.7575490813636363E9,11,1.7575490813636363E9,11
Africa Magic,33,male,Mpumalanga,black,6,1.7575488712857144E9,7,1.7575488712857144E9,7
Cartoon Network,36,male,Gauteng,black,6,1.7575488645E9,6,1.7575488645E9,6
Supersport Live Events,37,male,Gauteng,black,6,1.757548909E9,6,1.757548909E9,6
Channel O,33,male,Gauteng,black,6,1.7575495533333333E9,9,1.7575495533333333E9,9
Cartoon Network,22,male,Gauteng,black,6,1.757549164875E9,8,1.757549164875E9,8
Trace TV,23,male,Western Cape,coloured,6,1.757549109E9,7,1.757549109E9,7
Cartoon Network,30,male,Gauteng,black,6,1.7575489004285715E9,7,1.7575489004285715E9,7
Trace TV,32,male,Gauteng,black,6,1.757549537625E9,8,1.757549537625E9,8
Supersport Live Events,31,male,Gauteng,indian_asian,6,1.7575511E9,9,1.7575511E9,9
Africa Magic,36,male,Gauteng,black,6,1.7575489258888888E9,9,1.7575489258888888E9,9
Trace TV,27,male,Gauteng,black,6,1.757551716E9,7,1.757551716E9,7
Supersport Live Events,35,male,Western Cape,coloured,6,1.7575497584E9,15,1.7575497584E9,15
Cartoon Network,37,male,Gauteng,black,6,1.7575489065E9,6,1.7575489065E9,6
SuperSport Blitz,27,male,Mpumalanga,black,6,1.757549071142857E9,7,1.757549071142857E9,7
Supersport Live Events,26,male,Western Cape,coloured,6,1.7575489434285715E9,7,1.7575489434285715E9,7
Africa Magic,37,male,Gauteng,black,6,1.757548887857143E9,7,1.757548887857143E9,7
ICC Cricket World Cup 2011,35,male,Limpopo,indian_asian,6,1.7575493621538463E9,13,1.7575493621538463E9,13
Supersport Live Events,31,male,Gauteng,white,5,1.7575490992E9,10,1.7575490992E9,10
SuperSport Blitz,36,male,Gauteng,black,5,1.7575491085714285E9,7,1.7575491085714285E9,7
ICC Cricket World Cup 2011,27,male,Western Cape,coloured,5,1.757548992E9,6,1.757548992E9,6
Supersport Live Events,24,male,Limpopo,black,5,1.7575490256E9,5,1.7575490256E9,5
SuperSport Blitz,38,male,Gauteng,indian_asian,5,1.7575488823333333E9,6,1.7575488823333333E9,6
E! Entertainment,32,male,Gauteng,black,5,1.7575489563333333E9,6,1.7575489563333333E9,6
Supersport Live Events,30,male,Gauteng,black,5,1.7575491062222223E9,9,1.7575491062222223E9,9
Trace TV,26,male,Gauteng,black,5,1.7575488696E9,5,1.7575488696E9,5
Channel O,29,male,Kwazulu Natal,black,5,1.757549474625E9,8,1.757549474625E9,8
ICC Cricket World Cup 2011,35,male,Kwazulu Natal,indian_asian,5,1.757549026E9,5,1.757549026E9,5
ICC Cricket World Cup 2011,38,male,Gauteng,white,5,1.7575492455E9,8,1.7575492455E9,8
Boomerang,25,male,Gauteng,black,5,1.7575492635E9,6,1.7575492635E9,6
Africa Magic,29,male,Gauteng,black,5,1.7575488587E9,10,1.7575488587E9,10
ICC Cricket World Cup 2011,34,male,Limpopo,indian_asian,5,1.7575489993333333E9,6,1.7575489993333333E9,6
E! Entertainment,29,male,Gauteng,black,5,1.7575489124E9,5,1.7575489124E9,5
Supersport Live Events,29,male,Gauteng,white,5,1.757549162E9,8,1.757549162E9,8
SuperSport Blitz,27,male,Gauteng,indian_asian,5,1.7575492073333333E9,6,1.7575492073333333E9,6
Boomerang,32,male,Gauteng,black,5,1.757549469E9,6,1.757549469E9,6
Trace TV,44,male,Gauteng,black,5,1.7575495395E9,6,1.7575495395E9,6
